page_id,text,label,category,encoded_category
877,"I’ve read and accept the terms & conditions * , I also authorize Bosley to contact me by phone or text utilizing automated dialing equipment, as well as by email or mail with information about appointments, products, services, news or promotions. I also agree to Bosley's Terms of Service. Otherwise, call Bosley at 800-985-6405 to request your FREE information kit or to schedule your FREE no-obligation consultation.",1,Forced Action,0
1019,On Sale! Limited Time Offer!,1,Urgency,7
917,Hugs and Kisses Rose Bouquet $44.99 Discount -$6.75 Delivery $13.99 Tax $3.46 Item Total $55.69,1,Sneaking,5
917,Hugs and Kisses Rose Bouquet $44.99 Discount -$6.75 Delivery $13.99 Tax $3.46 Item Total $55.69,1,Sneaking,5
1534,HURRY ONLY 1 ITEM LEFT!,1,Scarcity,4
880,I agree to receive marketing emails from Natural Life and agree to our Privacy Policy and terms of use.,1,Forced Action,0
1348,Stock Low : 6 items left.,1,Scarcity,4
408,"No thanks, I want to pay full price",1,Misdirection,1
879,I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,1,Forced Action,0
448,I don't want a discount,1,Misdirection,1
1737,GlassGuard Warranty Do not fear breaking your glass! Add our GlassGuard warranty policy for just $3.85 and we'll insure this purchase.,1,Misdirection,1
930,"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.",1,Sneaking,5
497,00DAYS02HRS14MINS1211SEC,1,Urgency,7
1139,The Hoop Destination. Discover more,0,Not Dark Pattern,2
414,Whey Protein Isolate,0,Not Dark Pattern,2
916,Order Subtotal $19.99 Standard Delivery $12.99 Care & Handling $2.99 Tax $2.38 Total $38.35 Savings Today $10.00,1,Sneaking,5
877,"I’ve read and accept the terms & conditions * , I also authorize Bosley to contact me by phone or text utilizing automated dialing equipment, as well as by email or mail with information about appointments, products, services, news or promotions. I also agree to Bosley's Terms of Service. Otherwise, call Bosley at 800-985-6405 to request your FREE information kit or to schedule your FREE no-obligation consultation.",1,Forced Action,0
584,Your order will be reserved for 6:56 minutes.,1,Urgency,7
898,"You may cancel your JustFab VIP Membership at any time. There is absolutely no cancellation fee. If you would like to continue receiving selections, then just skip the month by clicking Skip This Month in your Boutique between the 1st and the 5th of the month. You won't be charged and no member credit will be generated for you. If you no longer want to skip the month, then call our Fashion Consultants on 020 36953830 (local rate) Mon-Fri 8:00AM to 8:00PM and Sat-Sun 10:00AM to 6:00PM or cancel your membership via chat.",1,Obstruction,3
877,"I’ve read and accept the terms & conditions * , I also authorize Bosley to contact me by phone or text utilizing automated dialing equipment, as well as by email or mail with information about appointments, products, services, news or promotions. I also agree to Bosley's Terms of Service. Otherwise, call Bosley at 800-985-6405 to request your FREE information kit or to schedule your FREE no-obligation consultation.",1,Forced Action,0
78,Hayden near Princeton just bought!!!: CBD VEGAN GUMMIES,1,Social Proof,6
82,"2,221 people have purchased this item",1,Social Proof,6
880,I agree to receive marketing emails from Natural Life and agree to our Privacy Policy and terms of use.,1,Forced Action,0
880,I agree to receive marketing emails from Natural Life and agree to our Privacy Policy and terms of use.,1,Forced Action,0
878,I accept the Terms & Conditions of the FREE Brother Care Program and agree to receive exclusive offers and general promotions from Brother. I may withdraw my consent at any time.,1,Forced Action,0
134,8 people are looking at this artwork,1,Social Proof,6
902,Perhaps you could...,0,Not Dark Pattern,2
1429,Shop Men's Styles,0,Not Dark Pattern,2
930,"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.",1,Sneaking,5
1810,Competitor Price: $172.00,1,Misdirection,1
1759,[new-troh-pick],0,Not Dark Pattern,2
1705,Customer also shopped for,1,Misdirection,1
878,I accept the Terms & Conditions of the FREE Brother Care Program and agree to receive exclusive offers and general promotions from Brother. I may withdraw my consent at any time.,1,Forced Action,0
401,I'd rather pay full price,1,Misdirection,1
1733,Grab yourself a bargain!,1,Misdirection,1
916,Order Subtotal $19.99 Standard Delivery $12.99 Care & Handling $2.99 Tax $2.38 Total $38.35 Savings Today $10.00,1,Sneaking,5
1005,Sale ends soon:,1,Urgency,7
442,"No Thanks, I'll Pay Full Price",1,Misdirection,1
1796,Congratulations! You qualify to receive Rechargeable 10-Function Bullet Vibe for FREE!,1,Misdirection,1
908,"There's no obligation to buy as an Xtra VIP Member, nor is there any minimum number of months or commitment for membership. You can shop or ‘Skip’ by the 5th of each month, and you can cancel your membership at any time by calling (855) SAVAGEX (open 24/7).",1,Obstruction,3
1272,異業合作 Cooperation,0,Not Dark Pattern,2
455,"No thanks, I like full price",1,Misdirection,1
910,"YOU MAY CANCEL YOUR WINE CLUB MEMBERSHIP OR ANY HOLIDAY SHIPMENTS AT ANY TIME BY CONTACTING US AT 1-877-975-9463, AND WE WILL PROMPTLY STOP PROCESSING THE RECURRING PAYMENTS.",1,Obstruction,3
916,Order Subtotal $19.99 Standard Delivery $12.99 Care & Handling $2.99 Tax $2.38 Total $38.35 Savings Today $10.00,1,Sneaking,5
1054,LIMITED TIME OFFER MEN'S CHINOS & 5-POCKET PANTS BUY 2 FOR $59.90 EACH SHOP NOW,1,Urgency,7
1023,Limited Time Offers,1,Urgency,7
674,3Days01:49:51 Left,1,Urgency,7
893,You may cancel your VIP membership at any time by calling 1-866-337-0906 (open 24/7).,1,Obstruction,3
121,17 people have viewed this wine today,1,Social Proof,6
1772,Purchase protection added,1,Sneaking,5
878,I accept the Terms & Conditions of the FREE Brother Care Program and agree to receive exclusive offers and general promotions from Brother. I may withdraw my consent at any time.,1,Forced Action,0
917,Hugs and Kisses Rose Bouquet $44.99 Discount -$6.75 Delivery $13.99 Tax $3.46 Item Total $55.69,1,Sneaking,5
878,I accept the Terms & Conditions of the FREE Brother Care Program and agree to receive exclusive offers and general promotions from Brother. I may withdraw my consent at any time.,1,Forced Action,0
684,0:44:56,1,Urgency,7
184,6 people have looked at this in the last few hrs.,1,Social Proof,6
298,"Natalie in Graham, United States purchased a FREE BTS Answer Magic Pillow about 1 hour ago",1,Social Proof,6
877,"I’ve read and accept the terms & conditions * , I also authorize Bosley to contact me by phone or text utilizing automated dialing equipment, as well as by email or mail with information about appointments, products, services, news or promotions. I also agree to Bosley's Terms of Service. Otherwise, call Bosley at 800-985-6405 to request your FREE information kit or to schedule your FREE no-obligation consultation.",1,Forced Action,0
1672,Availability: In Stock Hurry! Only 8 Left!,1,Scarcity,4
901,"You may cancel your Minted More membership at any time by contacting Minted Customer Service at www.minted.com/help. If you cancel your membership before your Minted More gift box has shipped, we will refund your full membership fee; provided that we may charge you (or withhold from your refund) the value of Minted More discount benefits used by you and your account prior to cancellation. If you cancel at any other time, your membership fee is non-refundable.",1,Obstruction,3
884,"There is no commitment and no minimum to buy. Please note exact shipment times may vary. To customize this program or future shipments, call customer service anytime at 1-800-THICKEN (844-2536).",1,Obstruction,3
880,I agree to receive marketing emails from Natural Life and agree to our Privacy Policy and terms of use.,1,Forced Action,0
910,"YOU MAY CANCEL YOUR WINE CLUB MEMBERSHIP OR ANY HOLIDAY SHIPMENTS AT ANY TIME BY CONTACTING US AT 1-877-975-9463, AND WE WILL PROMPTLY STOP PROCESSING THE RECURRING PAYMENTS.",1,Obstruction,3
1792,I already have this item. Do not add this to cart,1,Misdirection,1
927,"Be part of the best family ever & enjoy 15% in VIP Benefits on every order, every day. That's 10% Instant Savings plus 5% back in Rewards Cash on everything. Plus, enjoy 90 days to test run your shoes, socks, and insoles. And so much more! Join today for just $1.99 your first year.  ",1,Sneaking,5
384,"No thanks, I'll pay full price",1,Misdirection,1
1532,Only 2 Left in Stock,1,Scarcity,4
46,"Someone in Ampang, Malaysia just bought",1,Social Proof,6
449,No thanks. I don't like free things...,1,Misdirection,1
1701,LIMITED TIME OFFER : Grab a Matching Pair & save up 60%!,1,Misdirection,1
1618,Sellout risk:,1,Scarcity,4
1279,"Only 1 left , In Stock",1,Scarcity,4
1731,Want a special deal? Bundle and SAVE UPTO30%,1,Misdirection,1
1667,I've recommended The Keeper of Lost Things to everyone.,0,Not Dark Pattern,2
917,Hugs and Kisses Rose Bouquet $44.99 Discount -$6.75 Delivery $13.99 Tax $3.46 Item Total $55.69,1,Sneaking,5
1131,Limited Stock!,1,Scarcity,4
560,13:09:27 HOURS MINUTES SECONDS Sale Ends Once The Timer Hits Zero!,1,Urgency,7
394,"No thanks, I don't want to look my best",1,Misdirection,1
622, Fashion Short Sleeve Crew Neck Print Dress ,0,Not Dark Pattern,2
880,I agree to receive marketing emails from Natural Life and agree to our Privacy Policy and terms of use.,1,Forced Action,0
840,Items reserved for 15:00,1,Urgency,7
1745,With 1-year Care Subscription 10 days history,1,Misdirection,1
327,"No thanks, I don't like getting free stuff.",1,Misdirection,1
1786,Uncheck the box if you prefer not to receive email updates.,1,Misdirection,1
622, Summer V Neck Solid Color Short Sleeve Waffle T-Shirt ,0,Not Dark Pattern,2
885,"Members may cancel their Membership at any time during their Membership term and receive a full refund, less any benefits/savings received in their current Membership term (for example, Buyer’s Club Discounts received or free shipping). Refunds for completed years completed will not be made, even if the Member did not use any of the benefits during the Membership term. To cancel your membership, please contact our customer service department by contacting us at 1-800-375-3006.",1,Obstruction,3
901,"You may cancel your Minted More membership at any time by contacting Minted Customer Service at www.minted.com/help. If you cancel your membership before your Minted More gift box has shipped, we will refund your full membership fee; provided that we may charge you (or withhold from your refund) the value of Minted More discount benefits used by you and your account prior to cancellation. If you cancel at any other time, your membership fee is non-refundable.",1,Obstruction,3
1698,HURRY! ONLY 58 LEFT IN STOCK!,1,Scarcity,4
1260,Flat Iron,0,Not Dark Pattern,2
1307,"Only 3 left, order soon",1,Scarcity,4
1232,ONLY 1 LEFT,1,Scarcity,4
900,You may cancel your membership at any time by calling us at at 855-861-2573 (6:00AM – 5:00PM PST) or by emailing support@luckytacklebox.com. California residents may also cancel your subscription by accessing your Account through the Site.,1,Obstruction,3
877,"I’ve read and accept the terms & conditions * , I also authorize Bosley to contact me by phone or text utilizing automated dialing equipment, as well as by email or mail with information about appointments, products, services, news or promotions. I also agree to Bosley's Terms of Service. Otherwise, call Bosley at 800-985-6405 to request your FREE information kit or to schedule your FREE no-obligation consultation.",1,Forced Action,0
1415,Only 4 items left in stock.,1,Scarcity,4
1048,40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING OVER $80 HURRY! LIMITED TIME ONLY,1,Urgency,7
877,"I’ve read and accept the terms & conditions * , I also authorize Bosley to contact me by phone or text utilizing automated dialing equipment, as well as by email or mail with information about appointments, products, services, news or promotions. I also agree to Bosley's Terms of Service. Otherwise, call Bosley at 800-985-6405 to request your FREE information kit or to schedule your FREE no-obligation consultation.",1,Forced Action,0
167,69 people are viewing this,1,Social Proof,6
619,ENDS IN - Flash Offer - TWO PAIRS OF SHOES FOR $319 PROMO CODE AUTO-APPLIED AT CHECKOUT! 0 Days : 16 Hours : 09 Minutes : 57 Seconds,1,Urgency,7
879,I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,1,Forced Action,0
912,"CANCELLATION POLICY: If you are not completely satisfied with Yogi Surprise, you can cancel your membership and discontinue your monthly payments at any time. In order to cancel before you are renewed for the next shipment, you need to contact Yogi Surprise prior to the renewal date on the 14th of each month. Email: support@yogisurprise.com and we’ll respond promptly. If your membership has already renewed and you’d like to cancel an upcoming shipment, you must request cancellation by the 3rd of the month to be eligible for a refund. IF YOU DO NOT CANCEL PRIOR TO THE THIRD DAY OF A CALENDAR MONTH, YOU CANNOT BE REFUNDED FOR THAT MONTH’S SHIPMENT. WE DO NOT OFFER REFUNDS ON BOXES THAT HAVE ALREADY BEEN SHIPPED. To request cancellation, simply click here and submit the contact form or email us: support@yogisurprise.com. We’ll get back to promptly!",1,Obstruction,3
21,"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",1,Social Proof,6
715,Items will be reserved in your cart for 19:10,1,Urgency,7
878,I accept the Terms & Conditions of the FREE Brother Care Program and agree to receive exclusive offers and general promotions from Brother. I may withdraw my consent at any time.,1,Forced Action,0
880,I agree to receive marketing emails from Natural Life and agree to our Privacy Policy and terms of use.,1,Forced Action,0
905,"ONLY $1.99 FOR YOUR FIRST SIX MONTHS, THEN EACH YEAR YOUR MEMBERSHIP WILL AUTOMATICALLY RENEW FOR $39.99 AND BE CHARGED TO YOUR CREDIT/DEBIT CARD ON FILE. CANCEL YOUR VIP MEMBERSHIP ANY TIME TO RECEIVE A PRORATED REFUND BY CALLING (800) 543-7309. BY SUBMITTING YOUR ORDER, YOU AGREE TO THESE VIP MEMBERSHIP TERMS.",1,Obstruction,3
842,Massive Tax Time Sale See Discounts! Sale ends in,1,Urgency,7
925,"WOULD YOU LIKE A FREE NEXT DIRECTORY? Explore all the latest collections from your free Next Directory. By opting in to receive the Next Directory you agree that we may send you, at our discretion, further Directories usually in January and July each year, at a charge of £3.75 per publication. You also agree to receive supplementary Directories and ‘New In’ publications at no additional charge.",1,Sneaking,5
1772,Purchase protection added,1,Sneaking,5
41,"Someone in Madrid, Spain just bought",1,Social Proof,6
1047,25% OFF SELECTED JACKETS Limited Time,1,Urgency,7
173,"estiven in Deer Park, United States purchased PreWash™ 4 oz",1,Social Proof,6
1730,Professional Color Tool Kit / Addons,1,Misdirection,1
352,"NO, I'D RATHER PAY FULL PRICE",1,Misdirection,1
1673,Only 3 items left,1,Scarcity,4
1617,In Stock only 3 left,1,Scarcity,4
158,Other people want this. 10 people have this in their cart right now.,1,Social Proof,6
1372,Only 1 in stock,1,Scarcity,4
304,Last purchased at 11:19am today.,1,Social Proof,6
916,Order Subtotal $19.99 Standard Delivery $12.99 Care & Handling $2.99 Tax $2.38 Total $38.35 Savings Today $10.00,1,Sneaking,5
1473,ONLY 1 ITEM LEFT!,1,Scarcity,4
395,Media Players,0,Not Dark Pattern,2
1518,Only a few left of this product!,1,Scarcity,4
1248,1 left in stock,1,Scarcity,4
888,"We will also send you an additional email confirming your renewal. Should you elect not to renew your Membership, you may cancel at any time prior to the renewal by emailing us at passportmembership@1800flowers.com and your credit/debit card on file with us will not be charged. A confirmation email will be sent to you. If you email to cancel after your Membership has been renewed, your credit/debit card will have been charged the then current paid annual membership fee for the Passport Program, however you may request, and 1-800-Flowers may grant, a pro-rata refund within its sole discretion based upon the extent that you may have utilized the benefits of the Passport Program and the period of time remaining on your paid Membership.",1,Obstruction,3
822,Nightforce New Year Clearance,0,Not Dark Pattern,2
877,"I’ve read and accept the terms & conditions * , I also authorize Bosley to contact me by phone or text utilizing automated dialing equipment, as well as by email or mail with information about appointments, products, services, news or promotions. I also agree to Bosley's Terms of Service. Otherwise, call Bosley at 800-985-6405 to request your FREE information kit or to schedule your FREE no-obligation consultation.",1,Forced Action,0
1394,(5 Left),1,Scarcity,4
556,11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,1,Urgency,7
1289,ONLY 3 LEFT,1,Scarcity,4
207,"Someone in Flemington, United States purchased Anti-Aging Eyelid Tape (Contains 100 Strips) Just now",1,Social Proof,6
925,"WOULD YOU LIKE A FREE NEXT DIRECTORY? Explore all the latest collections from your free Next Directory. By opting in to receive the Next Directory you agree that we may send you, at our discretion, further Directories usually in January and July each year, at a charge of £3.75 per publication. You also agree to receive supplementary Directories and ‘New In’ publications at no additional charge.",1,Sneaking,5
1333,Last one available,1,Scarcity,4
889,"If you wish to cancel a membership, please contact our Customer Services Department on UK: +44 808 164 8264 (standard local call charges will apply) or via email on customer.service@beautypie.com. You can also contact the Customer Services Department by post at: Beauty Pie Limited, Customer Service Department, The Point, 210 New Kings Road, London SW6 5NZ, United Kingdom. Please quote your order number in all correspondence.",1,Obstruction,3
1063,Limited Time Only! 20% Off,1,Urgency,7
408,"No thanks, I want to pay full price",1,Misdirection,1
27,Real time 30 Visitor right now,1,Social Proof,6
879,I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,1,Forced Action,0
1405,Low Stock Alert: Only 8 left in inventory,1,Scarcity,4
498,"Due To HIGH Demand, Cart Expires In: 08:41",1,Urgency,7
1766,Shipping Insurance Remove Insurance,1,Sneaking,5
1612,Only 10 left in stock,1,Scarcity,4
176,1 people bought Jotter To Do Refill in the last few hours,1,Social Proof,6
906,"For more information about the VIP Rewards Club Membership, to purchase or terminate a membership, or to start or stop automatic renewal of a membership, contact Ross-Simons Customer Service by postal mail at: Ross-Simons, 9 Ross-Simons Drive, Cranston, Rhode Island 02920; or by email at customerservice@ross-simons.com; or by calling the VIP Rewards Club priority line at 800-835-3799.",1,Obstruction,3
1214,Only 2 Left,1,Scarcity,4
362,"no thanks, I hate fun & games",1,Misdirection,1
879,I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,1,Forced Action,0
681,activate within 10:00,1,Urgency,7
683,Your Cart Will Expire In 09:58 minutes!Please note that these items may not be available again if you release them.,1,Urgency,7
879,I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,1,Forced Action,0
930,"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.",1,Sneaking,5
1317,Crystal Lotus Sriyantras ,0,Not Dark Pattern,2
877,"I’ve read and accept the terms & conditions * , I also authorize Bosley to contact me by phone or text utilizing automated dialing equipment, as well as by email or mail with information about appointments, products, services, news or promotions. I also agree to Bosley's Terms of Service. Otherwise, call Bosley at 800-985-6405 to request your FREE information kit or to schedule your FREE no-obligation consultation.",1,Forced Action,0
878,I accept the Terms & Conditions of the FREE Brother Care Program and agree to receive exclusive offers and general promotions from Brother. I may withdraw my consent at any time.,1,Forced Action,0
407,"No Thanks, I Don't Want a Free Gift",1,Misdirection,1
264,Viewed 744 times today,1,Social Proof,6
884,"There is no commitment and no minimum to buy. Please note exact shipment times may vary. To customize this program or future shipments, call customer service anytime at 1-800-THICKEN (844-2536).",1,Obstruction,3
1536,Availability: Only 4 Left!,1,Scarcity,4
212, Supply & Demand ,0,Not Dark Pattern,2
1438,Limited Availability,1,Scarcity,4
260,POPULAR 62 others checked this out in the last few hours.,1,Social Proof,6
1330,TRE by Natalie Ratabesi,0,Not Dark Pattern,2
1197,Please note all products are made in limited quantities and we rarely restock - checkout now so you don't miss out!,1,Scarcity,4
344,I do not want to protect my item,1,Misdirection,1
348,"No thanks, I'll pay full price!",1,Misdirection,1
1545,Low in stock,1,Scarcity,4
1736, PopWallet+ Refine by Product Type: PopWallet+ ,0,Not Dark Pattern,2
502,Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,1,Urgency,7
395,"Nah, I like paying full price",1,Misdirection,1
912,"CANCELLATION POLICY: If you are not completely satisfied with Yogi Surprise, you can cancel your membership and discontinue your monthly payments at any time. In order to cancel before you are renewed for the next shipment, you need to contact Yogi Surprise prior to the renewal date on the 14th of each month. Email: support@yogisurprise.com and we’ll respond promptly. If your membership has already renewed and you’d like to cancel an upcoming shipment, you must request cancellation by the 3rd of the month to be eligible for a refund. IF YOU DO NOT CANCEL PRIOR TO THE THIRD DAY OF A CALENDAR MONTH, YOU CANNOT BE REFUNDED FOR THAT MONTH’S SHIPMENT. WE DO NOT OFFER REFUNDS ON BOXES THAT HAVE ALREADY BEEN SHIPPED. To request cancellation, simply click here and submit the contact form or email us: support@yogisurprise.com. We’ll get back to promptly!",1,Obstruction,3
940,Will sell out fast!,1,Scarcity,4
190,Log in / Create an account,0,Not Dark Pattern,2
880,I agree to receive marketing emails from Natural Life and agree to our Privacy Policy and terms of use.,1,Forced Action,0
1771,SUPPORT THE AMERICAN SUPRESSOR ASSOCIATION,1,Sneaking,5
1712,People also buy this with,1,Misdirection,1
1260,Only 16531 items left in stock!,1,Scarcity,4
1040,LIMITED TIME OFFER!,1,Urgency,7
1772,Purchase protection added,1,Sneaking,5
1667," is full of sorrow and joy that weaves the life stories of its characters, exploring relationships, illness and loss * Manchester Weekly News *",0,Not Dark Pattern,2
888,"We will also send you an additional email confirming your renewal. Should you elect not to renew your Membership, you may cancel at any time prior to the renewal by emailing us at passportmembership@1800flowers.com and your credit/debit card on file with us will not be charged. A confirmation email will be sent to you. If you email to cancel after your Membership has been renewed, your credit/debit card will have been charged the then current paid annual membership fee for the Passport Program, however you may request, and 1-800-Flowers may grant, a pro-rata refund within its sole discretion based upon the extent that you may have utilized the benefits of the Passport Program and the period of time remaining on your paid Membership.",1,Obstruction,3
931,Enjoy FREE shipping with WSJwine Advantage,1,Sneaking,5
9,"Chelsea in Burlington, Wisconsin bought Take Out The Boat Jumpsuit, Blackabout 13 minutes ago",1,Social Proof,6
890,"Prior to the automatic renewal and billing, we will notify you in advance (via the email you used at the time of enrollment) of (i) the pending renewal, (ii) the then current fees and charges applicable to the Passport Program, and (iii) where you may find more information about the Passport Program. We will also send you an additional email confirming your renewal. Should you elect not to renew your Membership, you may cancel at any time prior to the renewal by emailing us at passportmembership@1800flowers.com and your credit/debit card on file with us will not be charged. A confirmation email will be sent to you.",1,Obstruction,3
812,HURRY! ENDS IN: 11 HRS 20 MIN 13 SEC,1,Urgency,7
880,I agree to receive marketing emails from Natural Life and agree to our Privacy Policy and terms of use.,1,Forced Action,0
879,I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,1,Forced Action,0
350,"No Thanks, I Don't Like Exclusive Offers.",1,Misdirection,1
1742,Score! You've Qualified for a Checkout Bonus,1,Misdirection,1
565,Hurry! This special sale ends in 2h 42m 0s,1,Urgency,7
103,Fun Treat Tossing,0,Not Dark Pattern,2
1367,Cowgirls,0,Not Dark Pattern,2
299,Someone from purchased a HOLEES Original Ladies II - Navy About 9 hours ago,1,Social Proof,6
1266,only 1 in stock,1,Scarcity,4
331,"no thanks, I like paying full price",1,Misdirection,1
67,117 people have viewed this item in the last 7 days.,1,Social Proof,6
916,Order Subtotal $19.99 Standard Delivery $12.99 Care & Handling $2.99 Tax $2.38 Total $38.35 Savings Today $10.00,1,Sneaking,5
317,"No, thanks. I don't like great deals.",1,Misdirection,1
1005,Sale ends soon:,1,Urgency,7
916,Order Subtotal $19.99 Standard Delivery $12.99 Care & Handling $2.99 Tax $2.38 Total $38.35 Savings Today $10.00,1,Sneaking,5
1771,SUPPORT THE AMERICAN SUPRESSOR ASSOCIATION,1,Sneaking,5
879,I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,1,Forced Action,0
1351,In stock | 44 left,1,Scarcity,4
194,11 people viewed this today!,1,Social Proof,6
902,We may also disclose your information to third parties who may contact you with details of other products and services which may be of interest. If you do not want your name and mailing details made available in this way please email opt-out@nextdirect.com,1,Obstruction,3
1254,ONLY 5 LEFT,1,Scarcity,4
454,"No Thanks, I'd rather pay full price",1,Misdirection,1
257,"Shopper from Saint John, NB viewed Lenovo ThinkCentre M710t 10M9000RUS Desktop Computer 3 minutes ago!",1,Social Proof,6
878,I accept the Terms & Conditions of the FREE Brother Care Program and agree to receive exclusive offers and general promotions from Brother. I may withdraw my consent at any time.,1,Forced Action,0
904,"When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.",1,Obstruction,3
926,"◊After 1 year, subscription auto renews with fee. Review your iFit® Coach account on a computer, tablet, smartphone, or equipment console.",1,Sneaking,5
931,Enjoy FREE shipping with WSJwine Advantage,1,Sneaking,5
1387,"LOW IN STOCK, only 2 left",1,Scarcity,4
879,I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,1,Forced Action,0
1766,Shipping Insurance Remove Insurance,1,Sneaking,5
1766,Shipping Insurance Remove Insurance,1,Sneaking,5
1429,Shop Safely And Securely,0,Not Dark Pattern,2
877,"I’ve read and accept the terms & conditions * , I also authorize Bosley to contact me by phone or text utilizing automated dialing equipment, as well as by email or mail with information about appointments, products, services, news or promotions. I also agree to Bosley's Terms of Service. Otherwise, call Bosley at 800-985-6405 to request your FREE information kit or to schedule your FREE no-obligation consultation.",1,Forced Action,0
206,Over 38 bought,1,Social Proof,6
385,"No thanks, I'll still want to pay full price",1,Misdirection,1
1536,Sale Womens Clothing,0,Not Dark Pattern,2
433,"No Thanks, I Prefer Paying Full Price.",1,Misdirection,1
329,"No thanks, I don't like good deals.",1,Misdirection,1
1772,Purchase protection added,1,Sneaking,5
877,"I’ve read and accept the terms & conditions * , I also authorize Bosley to contact me by phone or text utilizing automated dialing equipment, as well as by email or mail with information about appointments, products, services, news or promotions. I also agree to Bosley's Terms of Service. Otherwise, call Bosley at 800-985-6405 to request your FREE information kit or to schedule your FREE no-obligation consultation.",1,Forced Action,0
371,"No thanks, I don't like free stuff",1,Misdirection,1
